"Source","Target","Weight"
"muzzle (destroy boys)","sweet tooth (destroy boys)","12"
"the dealer (nilufer yanya)","l/r (nilufer yanya)","12"
"pressed (alvvays)","many mirrors (alvvays)","12"
"tile by tile (alvvays)","pomeranian spinster (alvvays)","12"
"what we could be (vona vella)","roll into forever (vona vella)","12"
"knob (julie)","thread, stitch (julie)","12"
"ill cook my own meals (julie)","piano instrumental (julie)","12"
"tether (chvrches)","lies (chvrches)","11"
"hospitalized (broods)","everything goes (wow) (broods)","11"
"the mother we share (chvrches)","we sink (chvrches)","11"
"we sink (chvrches)","gun (chvrches)","11"
"too proud (broods)","to belong (broods)","11"
"bloodstream (soccer mommy)","circle the drain (soccer mommy)","11"
"fit n full (samia)","big wheel (samia)","11"
"big wheel (samia)","limbo bitch (samia)","11"
"limbo bitch (samia)","stellate (samia)","11"
"does not heal (samia)","waverly (samia)","11"
"minnesota (samia)","is there something in the movies? (samia)","11"
"te llevo conmigo (destroy boys)","bob (destroy boys)","11"
"bob (destroy boys)","drink (destroy boys)","11"
"l/r (nilufer yanya)","shameless (nilufer yanya)","11"
"modern job (sprints)","delia smith (sprints)","11"
"delia smith (sprints)","little fix (sprints)","11"
"point of you (kynsy)","new year (kynsy)","11"
"pharmacist (alvvays)","easy on your own? (alvvays)","11"
"easy on your own? (alvvays)","after the earthquake (alvvays)","11"
"after the earthquake (alvvays)","tom verlaine (alvvays)","11"
"tom verlaine (alvvays)","pressed (alvvays)","11"
"many mirrors (alvvays)","very online guy (alvvays)","11"
"very online guy (alvvays)","velveteen (alvvays)","11"
"velveteen (alvvays)","tile by tile (alvvays)","11"
"pomeranian spinster (alvvays)","belinda says (alvvays)","11"
"belinda says (alvvays)","bored in bristol (alvvays)","11"
"bored in bristol (alvvays)","lottery noises (alvvays)","11"
"hometown (ada lea)","heard you (ada lea)","11"
"lies (chvrches)","under the tide (chvrches)","10"
"dust (broods)","too proud (broods)","10"
"old dog (broods)","hospitalized (broods)","10"
"pool (samia)","fit n full (samia)","10"
"stellate (samia)","triptych (samia)","10"
"waverly (samia)","winnebago (samia)","10"
"winnebago (samia)","minnesota (samia)","10"
"piece of my mind (broods)","heartbreak (broods)","10"
"shameless (nilufer yanya)","stabilise (nilufer yanya)","10"
"stabilise (nilufer yanya)","chase me (nilufer yanya)","10"
"chase me (nilufer yanya)","midnight sun (nilufer yanya)","10"
"midnight sun (nilufer yanya)","trouble (nilufer yanya)","10"
"trouble (nilufer yanya)","try (nilufer yanya)","10"
"try (nilufer yanya)","company (nilufer yanya)","10"
"little fix (sprints)","im in a band (sprints)","10"
"lottery noises (alvvays)","fourth figure (alvvays)","10"
"kill her freak out (samia)","charm you (samia)","10"
"charm you (samia)","pink balloon (samia)","10"
"pink balloon (samia)","mad at me (samia)","10"
"mad at me (samia)","sea lions (samia)","10"
"sea lions (samia)","to me it was (samia)","10"
"to me it was (samia)","breathing song (samia)","10"
"breathing song (samia)","honey (samia)","10"
"honey (samia)","nanana (samia)","10"
"nanana (samia)","amelia (samia)","10"
"you s02 (speedy ortiz)","scabs (speedy ortiz)","10"
"i just do! (girlpuppy)","champ (girlpuppy)","10"
"gun (chvrches)","tether (chvrches)","9"
"under the tide (chvrches)","recover (chvrches)","9"
"recover (chvrches)","night sky (chvrches)","9"
"to belong (broods)","old dog (broods)","9"
"falling apart (broods)","everytime you go (broods)","9"
"speaking terms (snail mail)","heat wave (snail mail)","9"
"heat wave (snail mail)","stick (snail mail)","9"
"patience (mannequin pussy)","drunk ii (mannequin pussy)","9"
"circle the drain (soccer mommy)","royal screw up (soccer mommy)","9"
"royal screw up (soccer mommy)","night swimming (soccer mommy)","9"
"crawling in my skin (soccer mommy)","yellow is the color of her eyes (soccer mommy)","9"
"caroline (arlo parks)","black dog (arlo parks)","9"
"eye 2 eye (jackie hayes)","dead of winter (jackie hayes)","9"
"color of the pool (lala lala)","diver (lala lala)","9"
"company (nilufer yanya)","belong with you (nilufer yanya)","9"
"belong with you (nilufer yanya)","the mystic (nilufer yanya)","9"
"the mystic (nilufer yanya)","anotherlife (nilufer yanya)","9"
"unholy affliction (soccer mommy)","shotgun (soccer mommy)","9"
"happiness isn't a fixed state (kynsy)","cold blue light (kynsy)","9"
"amelia (samia)","dream song (samia)","9"
"scabs (speedy ortiz)","plus one (speedy ortiz)","9"
"plus one (speedy ortiz)","cry cry cry (speedy ortiz)","9"
"cry cry cry (speedy ortiz)","ballad of y & s (speedy ortiz)","9"
